onset	duration	trial_type	value	sample
1243.26953125	0.0	ROWE	6	318277
1243.328125	0.0	ROWS	7	318292
1247.43359375	0.0	ROWE	6	319343
1247.5	0.0	ROWS	7	319360
1250.3671875	0.0	ROWE	6	320094
1250.4296875	0.0	ROWS	7	320110
1254.53515625	0.0	ROWE	6	321161
1254.58984375	0.0	ROWS	7	321175
1258.734375	0.0	ROWE	6	322236
1258.7890625	0.0	ROWS	7	322250
1260.0	0.0	ROWE	6	322560
1260.05859375	0.0	ROWS	7	322575
1264.18359375	0.0	ROWE	6	323631
1264.25390625	0.0	ROWS	7	323649
1268.63671875	0.0	ROWE	6	324771
1268.703125	0.0	ROWS	7	324788
1272.53515625	0.0	ROWE	6	325769
1272.6015625	0.0	ROWS	7	325786
1276.8671875	0.0	ROWE	6	326878
1276.93359375	0.0	ROWS	7	326895
1281.19921875	0.0	ROWE	6	327987
1281.265625	0.0	ROWS	7	328004
1284.66796875	0.0	ROWE	6	328875
1284.73046875	0.0	ROWS	7	328891
1288.8515625	0.0	ROWE	6	329946
1288.91015625	0.0	ROWS	7	329961
1292.31640625	0.0	ROWE	6	330833
1292.37890625	0.0	ROWS	7	330849
1296.484375	0.0	ROWE	6	331900
1296.546875	0.0	ROWS	7	331916
1300.65234375	0.0	ROWE	6	332967
1300.71484375	0.0	ROWS	7	332983
1303.68359375	0.0	ROWE	6	333743
1303.74609375	0.0	ROWS	7	333759
1307.8671875	0.0	ROWE	6	334814
1307.93359375	0.0	ROWS	7	334831
1312.19921875	0.0	ROWE	6	335923
1312.38671875	0.0	ROWS	7	335971
1315.78515625	0.0	ROWE	6	336841
1315.8515625	0.0	ROWS	7	336858
1320.1171875	0.0	ROWE	6	337950
1320.16015625	0.0	ROWS	7	337961
1324.1171875	0.0	ROWE	6	338974
1324.1640625	0.0	ROWS	7	338986
1324.515625	0.0	ROWE	6	339076
1324.5625	0.0	ROWS	7	339088
1328.515625	0.0	ROWE	6	340100
1328.578125	0.0	ROWS	7	340116
1332.8515625	0.0	ROWE	6	341210
1332.91015625	0.0	ROWS	7	341225
1336.8671875	0.0	ROWE	6	342238
1336.9296875	0.0	ROWS	7	342254
1341.19921875	0.0	ROWE	6	343347
1341.26171875	0.0	ROWS	7	343363
1345.53125	0.0	ROWE	6	344456
1345.59765625	0.0	ROWS	7	344473
1349.8671875	0.0	ROWE	6	345566
1349.9296875	0.0	ROWS	7	345582
1354.31640625	0.0	ROWE	6	346705
1354.36328125	0.0	ROWS	7	346717
1358.31640625	0.0	ROWE	6	347729
1358.359375	0.0	ROWS	7	347740
1359.11328125	0.0	ROWE	6	347933
1359.15625	0.0	ROWS	7	347944
1363.11328125	0.0	ROWE	6	348957
1363.171875	0.0	ROWS	7	348972
1365.19921875	0.0	ROWE	6	349491
1365.25390625	0.0	ROWS	7	349505
1369.3671875	0.0	ROWE	6	350558
1369.4296875	0.0	ROWS	7	350574
1373.69921875	0.0	ROWE	6	351667
1373.765625	0.0	ROWS	7	351684
1378.1484375	0.0	ROWE	6	352806
1378.21484375	0.0	ROWS	7	352823
1382.46484375	0.0	ROWE	6	353911
1382.52734375	0.0	ROWS	7	353927
1386.6640625	0.0	ROWE	6	354986
1386.73046875	0.0	ROWS	7	355003
1390.015625	0.0	ROWE	6	355844
1390.078125	0.0	ROWS	7	355860
1394.18359375	0.0	ROWE	6	356911
1394.234375	0.0	ROWS	7	356924
1398.46484375	0.0	ROWE	6	358007
1398.51953125	0.0	ROWS	7	358021
1400.546875	0.0	ROWE	6	358540
1400.60546875	0.0	ROWS	7	358555
1404.71484375	0.0	ROWE	6	359607
1404.76953125	0.0	ROWS	7	359621
1408.8828125	0.0	ROWE	6	360674
1408.9375	0.0	ROWS	7	360688
1410.96484375	0.0	ROWE	6	361207
1411.0234375	0.0	ROWS	7	361222
1415.1328125	0.0	ROWE	6	362274
1415.1953125	0.0	ROWS	7	362290
1419.46484375	0.0	ROWE	6	363383
1419.52734375	0.0	ROWS	7	363399
1423.48046875	0.0	ROWE	6	364411
1423.546875	0.0	ROWS	7	364428
1427.8125	0.0	ROWE	6	365520
1427.8828125	0.0	ROWS	7	365538
1432.1484375	0.0	ROWE	6	366630
1432.21484375	0.0	ROWS	7	366647
1436.48046875	0.0	ROWE	6	367739
1436.546875	0.0	ROWS	7	367756
1440.9296875	0.0	ROWE	6	368878
1440.99609375	0.0	ROWS	7	368895
1445.265625	0.0	ROWE	6	369988
1445.3359375	0.0	ROWS	7	370006
1449.59765625	0.0	ROWE	6	371097
1449.6640625	0.0	ROWS	7	371114
1453.9296875	0.0	ROWE	6	372206
1453.9765625	0.0	ROWS	7	372218
1458.0625	0.0	ROWE	6	373264
1458.109375	0.0	ROWS	7	373276
1458.46484375	0.0	ROWE	6	373367
1458.51171875	0.0	ROWS	7	373379
1462.46484375	0.0	ROWE	6	374391
1462.53125	0.0	ROWS	7	374408
1466.796875	0.0	ROWE	6	375500
1466.86328125	0.0	ROWS	7	375517
1471.14453125	0.0	ROWE	6	376613
1471.21484375	0.0	ROWS	7	376631
1475.48046875	0.0	ROWE	6	377723
1475.53515625	0.0	ROWS	7	377737
1479.64453125	0.0	ROWE	6	378789
1479.6953125	0.0	ROWS	7	378802
1482.578125	0.0	ROWE	6	379540
1482.609375	0.0	ROWS	7	379548
1484.87890625	0.0	ROWE	6	380129
1488.84765625	0.0	EYEE	5	381145
