onset	duration	trial_type	value	sample
1233.446	0.0	ROWE	10	1233446
1233.507	0.0	ROWS	11	1233507
1236.779	0.0	ROWE	10	1236779
1236.829	0.0	ROWS	11	1236829
1240.778	0.0	ROWE	10	1240778
1240.831	0.0	ROWS	11	1240831
1242.862	0.0	ROWE	10	1242862
1242.917	0.0	ROWS	11	1242917
1247.028	0.0	ROWE	10	1247028
1247.076	0.0	ROWS	11	1247076
1251.028	0.0	ROWE	10	1251028
1251.076	0.0	ROWS	11	1251076
1252.228	0.0	ROWE	10	1252228
1252.28	0.0	ROWS	11	1252280
1256.395	0.0	ROWE	10	1256395
1256.459	0.0	ROWS	11	1256459
1260.828	0.0	ROWE	10	1260828
1260.892	0.0	ROWS	11	1260892
1264.728	0.0	ROWE	10	1264728
1264.789	0.0	ROWS	11	1264789
1268.895	0.0	ROWE	10	1268895
1268.96	0.0	ROWS	11	1268960
1273.228	0.0	ROWE	10	1273228
1273.297	0.0	ROWS	11	1273297
1277.561	0.0	ROWE	10	1277561
1277.633	0.0	ROWS	11	1277633
1282.01	0.0	ROWE	10	1282010
1282.081	0.0	ROWS	11	1282081
1286.344	0.0	ROWE	10	1286344
1286.411	0.0	ROWS	11	1286411
1289.81	0.0	ROWE	10	1289810
1289.883	0.0	ROWS	11	1289883
1294.261	0.0	ROWE	10	1294261
1294.337	0.0	ROWS	11	1294337
1298.66	0.0	ROWE	10	1298660
1298.732	0.0	ROWS	11	1298732
1302.994	0.0	ROWE	10	1302994
1303.065	0.0	ROWS	11	1303065
1307.327	0.0	ROWE	10	1307327
1307.398	0.0	ROWS	11	1307398
1311.66	0.0	ROWE	10	1311660
1311.732	0.0	ROWS	11	1311732
1315.693	0.0	ROWE	10	1315693
1315.764	0.0	ROWS	11	1315764
1320.027	0.0	ROWE	10	1320027
1320.091	0.0	ROWS	11	1320091
1324.36	0.0	ROWE	10	1324360
1324.427	0.0	ROWS	11	1324427
1327.827	0.0	ROWE	10	1327827
1327.891	0.0	ROWS	11	1327891
1332.16	0.0	ROWE	10	1332160
1332.228	0.0	ROWS	11	1332228
1336.609	0.0	ROWE	10	1336609
1336.682	0.0	ROWS	11	1336682
1340.51	0.0	ROWE	10	1340510
1340.584	0.0	ROWS	11	1340584
1344.859	0.0	ROWE	10	1344859
1344.917	0.0	ROWS	11	1344917
1349.026	0.0	ROWE	10	1349026
1349.079	0.0	ROWS	11	1349079
1349.859	0.0	ROWE	10	1349859
1349.897	0.0	ROWS	11	1349897
1353.859	0.0	ROWE	10	1353859
1353.913	0.0	ROWS	11	1353913
1355.526	0.0	ROWE	10	1355526
1355.579	0.0	ROWS	11	1355579
1359.809	0.0	ROWE	10	1359809
1359.868	0.0	ROWS	11	1359868
1363.975	0.0	ROWE	10	1363975
1364.039	0.0	ROWS	11	1364039
1366.909	0.0	ROWE	10	1366909
1366.97	0.0	ROWS	11	1366970
1371.076	0.0	ROWE	10	1371076
1371.129	0.0	ROWS	11	1371129
1375.276	0.0	ROWE	10	1375276
1375.329	0.0	ROWS	11	1375329
